ISSN,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Journal,Updated
1423-0097,12 months embargo,cannot,green,,International Archives of Allergy and Immunology,9/08/2018,
0251-5350,12 months embargo,cannot,green,,Neuroepidemiology,9/08/2018,
1423-0208,12 months embargo,cannot,green,,Neuroepidemiology,9/08/2018,
1663-2699,can,can,green,CC-BY-NC,Case Reports in Ophthalmology,29/06/2016,
1941-9651,6 months embargo,cannot,yellow,,Circulation: Cardiovascular Imaging,8/06/2018,
1942-0080,6 months embargo,cannot,yellow,,Circulation: Cardiovascular Imaging,8/06/2018,
1941-7713,6 months embargo,cannot,yellow,,Circulation: Cardiovascular Quality and Outcomes,8/06/2018,
1941-7705,6 months embargo,cannot,yellow,,Circulation: Cardiovascular Quality and Outcomes,8/06/2018,
0009-7322,6 months embargo,cannot,yellow,,Circulation,8/06/2018,
1524-4539,6 months embargo,cannot,yellow,,Circulation,8/06/2018,
2047-9980,can,can,green,CC-BY-NC,Journal of the American Heart Association,27/10/2016,
0039-2499,6 months embargo,cannot,yellow,,Stroke,8/06/2018,
1524-4628,6 months embargo,cannot,yellow,,Stroke,8/06/2018,
1568-4849,12 months embargo,cannot,yellow,,Asian Journal of Social Science,11/07/2019,
1568-5314,12 months embargo,cannot,yellow,,Asian Journal of Social Science,11/07/2019,
0005-7959,12 months embargo,cannot,yellow,,Behaviour,11/07/2019,
1568-539X,12 months embargo,cannot,yellow,,Behaviour,11/07/2019,
0927-3131,12 months embargo,cannot,green,,Samuel Beckett Today / Aujourd'hui,8/07/2015,
1875-7405,12 months embargo,cannot,green,,Samuel Beckett Today / Aujourd'hui,8/07/2015,
2452-2007,,,,,Translocal Chinese: East Asian Perspectives,,
2452-2015,,,,,Translocal Chinese: East Asian Perspectives,,
1175-5334,cannot,cannot,white,,Zootaxa,25/11/2016,
1175-5326,cannot,cannot,white,,Zootaxa,25/11/2016,
1534-7362,cannot,can,green,CC-BY-NC-ND,Journal of Vision,25/02/2019,
1552-5783,cannot,can,green,CC-BY-NC-ND,Investigative Opthalmology & Visual Science,25/02/2019,
0894-8755,cannot,6 months embargo,yellow,,Journal of Climate,30/08/2019,
1520-0442,cannot,6 months embargo,yellow,,Journal of Climate,30/08/2019,
0002-953X,12 months embargo,cannot,yellow,,American Journal of Psychiatry,22/05/2015,
1535-7228,12 months embargo,cannot,yellow,,American Journal of Psychiatry,22/05/2015,
0003-7028,can,cannot,green,,Applied Spectroscopy,21/08/2019,
1943-3530,can,cannot,green,,Applied Spectroscopy,21/08/2019,
0004-8658,can,cannot,green,,Australian & New Zealand Journal of Criminology,21/08/2019,
1837-9273,can,cannot,green,,Australian & New Zealand Journal of Criminology,21/08/2019,
0004-8674,can,cannot,green,,Australian & New Zealand Journal of Psychiatry,21/08/2019,
1440-1614,can,cannot,green,,Australian & New Zealand Journal of Psychiatry,21/08/2019,
0018-7267,can,cannot,green,,Human Relations,21/08/2019,
1741-282X,can,cannot,green,,Human Relations,21/08/2019,
0020-8728,can,cannot,green,,International Social Work,21/08/2019,
1461-7234,can,cannot,green,,International Social Work,21/08/2019,
0021-9983,can,cannot,green,,Journal of Composite Materials,21/08/2019,
1530-793X,can,cannot,green,,Journal of Composite Materials,21/08/2019,
0022-0221,can,cannot,green,,Journal of Cross-Cultural Psychology,21/08/2019,
1552-5422,can,cannot,green,,Journal of Cross-Cultural Psychology,21/08/2019,
0022-0345,can,cannot,green,,Journal of Dental Research,21/08/2019,
1544-0591,can,cannot,green,,Journal of Dental Research,21/08/2019,
0022-4871,can,cannot,green,,Journal of Teacher Education,21/08/2019,
1552-7816,can,cannot,green,,Journal of Teacher Education,21/08/2019,
0031-7217,"Permission must be obtained from publisher or author, depending on who owns copyright",unknown,white,,Phi Delta Kappan,29/03/2010,
1940-6487,"Permission must be obtained from publisher or author, depending on who owns copyright",unknown,white,,Phi Delta Kappan,29/03/2010,
0044-118X,can,cannot,green,,Youth & Society,21/08/2019,
1552-8499,can,cannot,green,,Youth & Society,21/08/2019,
0091-2174,can,cannot,green,,The International Journal of Psychiatry in Medicine,21/08/2019,
1541-3527,can,cannot,green,,The International Journal of Psychiatry in Medicine,21/08/2019,
0091-4150,can,cannot,green,,The International Journal of Aging and Human Development,21/08/2019,
1541-3535,can,cannot,green,,The International Journal of Aging and Human Development,21/08/2019,
0143-831X,can,cannot,green,,Economic and Industrial Democracy,21/08/2019,
1461-7099,can,cannot,green,,Economic and Industrial Democracy,21/08/2019,
0146-1672,can,cannot,green,,Personality and Social Psychology Bulletin,21/08/2019,
1552-7433,can,cannot,green,,Personality and Social Psychology Bulletin,21/08/2019,
0163-4437,can,cannot,green,,"Media, Culture & Society",21/08/2019,
1460-3675,can,cannot,green,,"Media, Culture & Society",21/08/2019,
0193-7235,can,cannot,green,,Journal of Sport and Social Issues,21/08/2019,
1552-7638,can,cannot,green,,Journal of Sport and Social Issues,21/08/2019,
0261-0183,can,cannot,green,,Critical Social Policy,21/08/2019,
1461-703X,can,cannot,green,,Critical Social Policy,21/08/2019,
2399-8083,can,cannot,green,,Environment and Planning B: Urban Analytics and City Science,21/08/2019,
2399-8091,can,cannot,green,,Environment and Planning B: Urban Analytics and City Science,21/08/2019,
0266-2426,can,cannot,green,,International Small Business Journal,21/08/2019,
1741-2870,can,cannot,green,,International Small Business Journal,21/08/2019,
0266-6669,can,cannot,green,,Information Development,21/08/2019,
1741-6469,can,cannot,green,,Information Development,21/08/2019,
0269-2155,can,cannot,green,,Clinical Rehabilitation,21/08/2019,
1477-0873,can,cannot,green,,Clinical Rehabilitation,21/08/2019,
0269-2163,can,cannot,green,,Palliative Medicine,21/08/2019,
1477-030X,can,cannot,green,,Palliative Medicine,21/08/2019,
0269-8811,can,cannot,green,,Journal of Psychopharmacology,21/08/2019,
1461-7285,can,cannot,green,,Journal of Psychopharmacology,21/08/2019,
0271-678X,can,cannot,green,,Journal of Cerebral Blood Flow & Metabolism,21/08/2019,
1559-7016,can,cannot,green,,Journal of Cerebral Blood Flow & Metabolism,21/08/2019,
0276-1467,can,cannot,green,,Journal of Macromarketing,21/08/2019,
1552-6534,can,cannot,green,,Journal of Macromarketing,21/08/2019,
0306-3070,can,cannot,green,,Journal of General Management,21/08/2019,
1759-6106,can,cannot,green,,Journal of General Management,21/08/2019,
0309-1333,can,cannot,green,,Progress in Physical Geography: Earth and Environment,21/08/2019,
1477-0296,can,cannot,green,,Progress in Physical Geography: Earth and Environment,21/08/2019,
0310-057X,Permission to reuse articles must be sought from the publisher directly,unknown,white,,Anaesthesia and Intensive Care,29/01/2009,
1448-0271,Permission to reuse articles must be sought from the publisher directly,unknown,white,,Anaesthesia and Intensive Care,29/01/2009,
0731-6844,can,cannot,green,,Journal of Reinforced Plastics and Composites,21/08/2019,
1530-7964,can,cannot,green,,Journal of Reinforced Plastics and Composites,21/08/2019,
0887-4034,can,cannot,green,,Criminal Justice Policy Review,21/08/2019,
1552-3586,can,cannot,green,,Criminal Justice Policy Review,21/08/2019,
0954-4054,can,cannot,green,,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",21/08/2019,
2041-2975,can,cannot,green,,"Proceedings of the Institution of Mechanical Engineers, Part B: Journal of Engineering Manufacture",21/08/2019,
0954-4119,can,cannot,green,,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",21/08/2019,
2041-3033,can,cannot,green,,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",21/08/2019,
0957-154X,can,cannot,green,,History of Psychiatry,21/08/2019,
1740-2360,can,cannot,green,,History of Psychiatry,21/08/2019,
0959-3535,can,cannot,green,,Feminism & Psychology,21/08/2019,
1461-7161,can,cannot,green,,Feminism & Psychology,21/08/2019,
0959-6836,can,cannot,green,,The Holocene,21/08/2019,
1477-0911,can,cannot,green,,The Holocene,21/08/2019,
0961-2033,can,cannot,green,,Lupus,21/08/2019,
1477-0962,can,cannot,green,,Lupus,21/08/2019,
0963-7214,can,cannot,green,,Current Directions in Psychological Science,21/08/2019,
1467-8721,can,cannot,green,,Current Directions in Psychological Science,21/08/2019,
1032-3732,can,cannot,green,,Accounting History,21/08/2019,
1749-3374,can,cannot,green,,Accounting History,21/08/2019,
1039-8562,can,cannot,green,,Australasian Psychiatry,21/08/2019,
1440-1665,can,cannot,green,,Australasian Psychiatry,21/08/2019,
1049-7315,can,cannot,green,,Research on Social Work Practice,21/08/2019,
1552-7581,can,cannot,green,,Research on Social Work Practice,21/08/2019,
1049-7323,can,cannot,green,,Qualitative Health Research,21/08/2019,
1552-7557,can,cannot,green,,Qualitative Health Research,21/08/2019,
1071-1007,12 months embargo,cannot,yellow,,Foot & Ankle International,20/08/2013,
1944-7876,12 months embargo,cannot,yellow,,Foot & Ankle International,20/08/2013,
1073-1911,can,cannot,green,,Assessment,21/08/2019,
1552-3489,can,cannot,green,,Assessment,21/08/2019,
1077-8004,can,cannot,green,,Qualitative Inquiry,21/08/2019,
1552-7565,can,cannot,green,,Qualitative Inquiry,21/08/2019,
1079-0632,12 months embargo,cannot,green,,Sexual Abuse: A Journal of Research and Treatment,16/05/2014,
1573-286X,12 months embargo,cannot,green,,Sexual Abuse: A Journal of Research and Treatment,16/05/2014,
1082-0132,can,cannot,green,,Food Science and Technology International,21/08/2019,
1532-1738,can,cannot,green,,Food Science and Technology International,21/08/2019,
1094-4281,can,cannot,green,,Organizational Research Methods,21/08/2019,
1552-7425,can,cannot,green,,Organizational Research Methods,21/08/2019,
1177-1801,,,,,AlterNative: An International Journal of Indigenous Peoples,,
1174-1740,,,,,AlterNative: An International Journal of Indigenous Peoples,,
1179-237X,can,can,green,CC-BY-NC,Genetics & Epigenetics,22/07/2014,
1179-5549,can,can,green,CC-BY-NC,Clinical Medicine Insights: Oncology,22/07/2014,
1321-103X,can,cannot,green,,Research Studies in Music Education,21/08/2019,
1834-5530,can,cannot,green,,Research Studies in Music Education,21/08/2019,
1350-5076,can,cannot,green,,Management Learning,21/08/2019,
1461-7307,can,cannot,green,,Management Learning,21/08/2019,
1351-010X,cannot,6 months embargo,white,,Building Acoustics,18/03/2014,
2059-8025,cannot,6 months embargo,white,,Building Acoustics,18/03/2014,
1357-633X,can,cannot,green,,Journal of Telemedicine and Telecare,21/08/2019,
1758-1109,can,cannot,green,,Journal of Telemedicine and Telecare,21/08/2019,
1359-1053,can,cannot,green,,Journal of Health Psychology,21/08/2019,
1461-7277,can,cannot,green,,Journal of Health Psychology,21/08/2019,
1367-5494,can,cannot,green,,European Journal of Cultural Studies,21/08/2019,
1460-3551,can,cannot,green,,European Journal of Cultural Studies,21/08/2019,
1368-4302,can,cannot,green,,Group Processes & Intergroup Relations,21/08/2019,
1461-7188,can,cannot,green,,Group Processes & Intergroup Relations,21/08/2019,
1369-4332,can,cannot,green,,Advances in Structural Engineering,21/08/2019,
2048-4011,can,cannot,green,,Advances in Structural Engineering,21/08/2019,
1461-4529,can,cannot,green,,Environmental Law Review,21/08/2019,
1740-5564,can,cannot,green,,Environmental Law Review,21/08/2019,
1463-9491,can,cannot,green,,Contemporary Issues in Early Childhood,21/08/2019,
1468-0181,can,cannot,green,,Global Social Policy: An Interdisciplinary Journal of Public Policy and Social Development,21/08/2019,
1741-2803,can,cannot,green,,Global Social Policy: An Interdisciplinary Journal of Public Policy and Social Development,21/08/2019,
1468-7941,can,cannot,green,,Qualitative Research,21/08/2019,
1741-3109,can,cannot,green,,Qualitative Research,21/08/2019,
1468-7968,can,cannot,green,,Ethnicities,21/08/2019,
1741-2706,can,cannot,green,,Ethnicities,21/08/2019,
1470-5931,can,cannot,green,,Marketing Theory,21/08/2019,
1741-301X,can,cannot,green,,Marketing Theory,21/08/2019,
1473-3250,can,cannot,green,,Qualitative Social Work,21/08/2019,
1741-3117,can,cannot,green,,Qualitative Social Work,21/08/2019,
1474-0222,can,cannot,green,,Arts and Humanities in Higher Education,21/08/2019,
1741-265X,can,cannot,green,,Arts and Humanities in Higher Education,21/08/2019,
1478-2103,can,cannot,green,,Policy Futures in Education,21/08/2019,
1545-9683,can,cannot,green,,Neurorehabilitation and Neural Repair,21/08/2019,
1552-6844,can,cannot,green,,Neurorehabilitation and Neural Repair,21/08/2019,
1687-8140,can,can,green,CC-BY,Advances in Mechanical Engineering,22/02/2018,
1747-0161,can,cannot,green,,Research Ethics,21/08/2019,
2047-6094,can,cannot,green,,Research Ethics,21/08/2019,
1747-4930,can,cannot,green,,International Journal of Stroke,21/08/2019,
1747-4949,can,cannot,green,,International Journal of Stroke,21/08/2019,
1933-7191,can,cannot,green,,Reproductive Sciences,21/08/2019,
1933-7205,can,cannot,green,,Reproductive Sciences,21/08/2019,
1948-5506,can,cannot,green,,Social Psychological and Personality Science,21/08/2019,
1948-5514,can,cannot,green,,Social Psychological and Personality Science,21/08/2019,
2041-3866,can,cannot,green,,Organizational Psychology Review,21/08/2019,
2041-3874,can,cannot,green,,Organizational Psychology Review,21/08/2019,
2042-7530,can,cannot,green,,E-Learning and Digital Media,21/08/2019,
2043-6106,can,cannot,green,,Global Studies of Childhood,21/08/2019,
2043-8206,can,cannot,green,,Dialogues in Human Geography,21/08/2019,
2043-8214,can,cannot,green,,Dialogues in Human Geography,21/08/2019,
2047-1734,can,cannot,green,,"Citizenship, Social and Economics Education",21/08/2019,
2047-4873,can,cannot,green,,European Journal of Preventive Cardiology,21/08/2019,
2047-4881,can,cannot,green,,European Journal of Preventive Cardiology,21/08/2019,
2055-2076,can,can,green,CC-BY,DIGITAL HEALTH,22/02/2018,
2055-2173,can,can,green,CC-BY,"Multiple Sclerosis Journal – Experimental, Translational and Clinical",22/02/2018,
2382-1205,can,cannot,green,,Journal of Medical Education and Curricular Development,21/08/2019,
0006-4971,12 months embargo,cannot,white,,Blood,29/10/2019,
1528-0020,12 months embargo,cannot,white,,Blood,29/10/2019,
0903-1936,12 months embargo,cannot,yellow,,European Respiratory Journal,22/05/2019,
1399-3003,12 months embargo,cannot,yellow,,European Respiratory Journal,22/05/2019,
2312-0541,can,can,green,CC-BY,ERJ Open Research,23/08/2018,
1438-387X,12 months embargo,can,green,CC-BY,Helgoland Marine Research,3/09/2018,
1438-3888,12 months embargo,can,green,CC-BY,Helgoland Marine Research,3/09/2018,
1471-2148,can,can,green,CC-BY,BMC Evolutionary Biology,3/09/2018,
1471-2164,can,can,green,CC-BY,BMC Genomics,3/09/2018,
1471-2229,can,can,green,CC-BY,BMC Plant Biology,3/09/2018,
1471-2318,can,can,green,CC-BY,BMC Geriatrics,3/09/2018,
1471-2350,can,can,green,CC-BY,BMC Medical Genetics,3/09/2018,
1471-2393,can,can,green,CC-BY,BMC Pregnancy and Childbirth,3/09/2018,
1471-2407,can,can,green,CC-BY,BMC Cancer,3/09/2018,
1471-2415,can,can,green,CC-BY,BMC Ophthalmology,3/09/2018,
1471-2431,can,can,green,CC-BY,BMC Pediatrics,3/09/2018,
1471-244X,can,can,green,CC-BY,BMC Psychiatry,3/09/2018,
1471-2458,can,can,green,CC-BY,BMC Public Health,3/09/2018,
1471-2466,can,can,green,CC-BY,BMC Pulmonary Medicine,3/09/2018,
1471-2474,can,can,green,CC-BY,BMC Musculoskeletal Disorders,3/09/2018,
1471-2490,can,can,green,CC-BY,BMC Urology,3/09/2018,
1472-684X,can,can,green,CC-BY,BMC Palliative Care,3/09/2018,
1472-6920,can,can,green,CC-BY,BMC Medical Education,3/09/2018,
1472-6947,can,can,green,CC-BY,BMC Medical Informatics and Decision Making,3/09/2018,
1472-6955,can,can,green,CC-BY,BMC Nursing,3/09/2018,
1472-6963,can,can,green,CC-BY,BMC Health Services Research,3/09/2018,
1741-7015,can,can,green,CC-BY,BMC Medicine,3/09/2018,
1478-7954,can,can,green,CC-BY,Population Health Metrics,3/09/2018,
1479-5868,can,can,green,CC-BY,International Journal of Behavioral Nutrition and Physical Activity,3/09/2018,
1532-429X,can,can,green,CC-BY,Journal of Cardiovascular Magnetic Resonance,3/09/2018,
1550-2783,can,can,green,CC-BY,Journal of the International Society of Sports Nutrition,3/09/2018,
1617-9625,unknown,unknown,gray,,Tobacco Induced Diseases,16/05/2019,
1742-2094,can,can,green,CC-BY,Journal of Neuroinflammation,3/09/2018,
1742-6405,can,can,green,CC-BY,AIDS Research and Therapy,3/09/2018,
1743-7075,can,can,green,CC-BY,Nutrition & Metabolism,3/09/2018,
1749-7922,can,can,green,CC-BY,World Journal of Emergency Surgery,3/09/2018,
1750-1172,can,can,green,CC-BY,Orphanet Journal of Rare Diseases,3/09/2018,
1750-9378,can,can,green,CC-BY,Infectious Agents and Cancer,3/09/2018,
1754-9493,can,can,green,CC-BY,Patient Safety in Surgery,3/09/2018,
1757-1146,can,can,green,CC-BY,Journal of Foot and Ankle Research,3/09/2018,
1474-760X,can,can,green,CC-BY,Genome Biology,3/09/2018,
1745-6215,can,can,green,CC-BY,Trials,3/09/2018,
1756-994X,can,can,green,CC-BY,Genome Medicine,3/09/2018,
1478-6362,can,can,green,CC-BY,Arthritis Research & Therapy,3/09/2018,
1868-7075,can,can,green,CC-BY,Clinical Epigenetics,3/09/2018,
1868-7083,can,can,green,CC-BY,Clinical Epigenetics,3/09/2018,
2044-5040,can,can,green,CC-BY,Skeletal Muscle,3/09/2018,
2195-3007,,,,,Asian Journal of Gambling Issues and Public Health,,
2052-3211,can,can,green,CC-BY,Journal of Pharmaceutical Policy and Practice,3/09/2018,
2196-7822,can,can,green,CC-BY,International Journal of STEM Education,7/09/2018,
2198-4115,can,can,green,CC-BY,Pacific Journal of Mathematics for Industry,7/09/2018,
2054-958X,can,can,green,CC-BY,"Maternal Health, Neonatology and Perinatology",3/09/2018,
2107-6952,can,can,green,CC-BY,Public Health Reviews,3/09/2018,
0190-535X,cannot,cannot,white,,Oncology Nursing Forum,20/09/2018,
1538-0688,cannot,cannot,white,,Oncology Nursing Forum,20/09/2018,
2056-4678,6 months embargo,cannot,green,CC-BY-NC-ND,BJPsych Advances,7/10/2014,
2056-4686,6 months embargo,cannot,green,CC-BY-NC-ND,BJPsych Advances,7/10/2014,
2056-4724,can,can,green,CC-BY,BJPsych Open,6/08/2013,
2056-4740,12 months embargo,cannot,green,CC-BY-NC-ND,BJPsych. International,10/05/2016,
2058-6264,12 months embargo,cannot,green,CC-BY-NC-ND,BJPsych. International,10/05/2016,
8755-2930,can,can,blue,,Earthquake Spectra,6/03/2014,
1944-8201,can,can,blue,,Earthquake Spectra,6/03/2014,
2378-9506,can,can,green,CC-BY,Journal of Global Oncology,3/07/2018,
0295-5075,can,cannot,green,,EPL (Europhysics Letters),6/07/2018,
1286-4854,can,cannot,green,,EPL (Europhysics Letters),6/07/2018,
0013-7227,12 months embargo,cannot,green,CC-BY,Endocrinology,30/05/2017,
1945-7170,12 months embargo,cannot,green,CC-BY,Endocrinology,30/05/2017,
0021-972X,12 months embargo,cannot,green,,The Journal of Clinical Endocrinology & Metabolism,30/05/2017,
1945-7197,12 months embargo,cannot,green,,The Journal of Clinical Endocrinology & Metabolism,30/05/2017,
2053-6178,,,,,Clinical Pharmacist,,
1080-2371,12 months embargo,cannot,yellow,,CONTINUUM: Lifelong Learning in Neurology,6/12/2018,
1538-6899,12 months embargo,cannot,yellow,,CONTINUUM: Lifelong Learning in Neurology,6/12/2018,
0003-2999,12 months embargo,cannot,yellow,,Anesthesia & Analgesia,6/12/2018,
0246-0203,can,can,blue,,"Annales de l'Institut Henri Poincaré, Probabilités et Statistiques",7/01/2010,
0883-4237,12 months embargo,can,green,,Statistical Science,25/06/2018,
0740-2775,12 months embargo,cannot,green,,World Policy Journal,8/04/2015,
1936-0924,12 months embargo,cannot,green,,World Policy Journal,8/04/2015,
1754-8403,can,can,green,CC-BY,Disease Models & Mechanisms,12/06/2015,
1754-8411,can,can,green,CC-BY,Disease Models & Mechanisms,12/06/2015,
0022-0949,12 months embargo,can,green,,The Journal of Experimental Biology,12/04/2016,
1477-9145,12 months embargo,can,green,,The Journal of Experimental Biology,12/04/2016,
1068-9265,12 months embargo,cannot,green,,Annals of Surgical Oncology,18/10/2018,
1534-4681,12 months embargo,cannot,green,,Annals of Surgical Oncology,18/10/2018,
0195-9131,12 months embargo,cannot,yellow,,Medicine & Science in Sports & Exercise,6/12/2018,
1346-3969,No information,No information,No information,,Acoustical Science and Technology,,
1347-5177,No information,No information,No information,,Acoustical Science and Technology,,
2046-1402,can,can,green,CC-BY,F1000Research,5/10/2016,
2289-0882,,,,,Translational and Clinical Pharmacology,,
2383-5427,,,,,Translational and Clinical Pharmacology,,
0030-364X,can,cannot,green,,Operations Research,19/07/2017,
1526-5463,can,cannot,green,,Operations Research,19/07/2017,
2164-3962,,,,,Service Science,,
2164-3970,can,cannot,green,,Service Science,19/07/2017,
0091-6765,can,can,blue,,Environmental Health Perspectives,31/03/2011,
1552-9924,can,can,blue,,Environmental Health Perspectives,31/03/2011,
2297-6477,can,can,green,CC-BY,Challenges in Sustainability,5/04/2013,
1747-0307,6 months embargo,cannot,white,,British Journal of Neuroscience Nursing,20/02/2018,
2052-2800,6 months embargo,cannot,white,,British Journal of Neuroscience Nursing,20/02/2018,
1357-6321,6 months embargo,cannot,white,,International Journal of Palliative Nursing,20/02/2018,
2052-286X,6 months embargo,cannot,white,,International Journal of Palliative Nursing,20/02/2018,
1229-9367,,,,,Steel and Composite Structures,,
1936-6744,unknown,unknown,gray,,International Journal of the Analytic Hierarchy Process,16/05/2019,
1086-3168,can,cannot,green,,American Journal of Philology,5/07/2017,
1553-5630,,,,,Asian Music,,
1527-9464,can,can,green,,The Contemporary Pacific,13/03/2019,
1080-661X,can,cannot,green,,New Literary History,5/07/2017,
1534-150X,,,,,Notes,,
1527-9421,can,can,green,,Oceanic Linguistics,13/03/2019,
1940-5065,can,cannot,green,,Twentieth-Century China,5/07/2017,
1948-7142,,,,,Western American Literature,,
2156-7085,can,can,green,CC-BY,Biomedical Optics Express,5/10/2017,
1094-4087,can,can,green,CC-BY,Optics Express,5/10/2017,
0146-9592,12 months embargo,cannot,green,,Optics Letters,8/09/2017,
1539-4794,12 months embargo,cannot,green,,Optics Letters,8/09/2017,
2334-2536,12 months embargo,cannot,green,,Optica,8/09/2017,
1544-1709,cannot,6 months embargo,white,,The Annals of Family Medicine,31/01/2020,
1544-1717,cannot,6 months embargo,white,,The Annals of Family Medicine,31/01/2020,
1553-7358,can,can,green,CC-BY,PLOS Computational Biology,8/09/2016,
1549-1676,can,can,green,CC-BY,PLOS Medicine,8/09/2016,
1932-6203,can,can,green,CC-BY,PLOS ONE,8/09/2016,
1553-7374,can,can,green,CC-BY,PLOS Pathogens,8/09/2016,
0009-9147,12 months embargo,cannot,yellow,,Clinical Chemistry,8/10/2014,
1530-8561,12 months embargo,cannot,yellow,,Clinical Chemistry,8/10/2014,
2049-3010,12 months embargo,cannot,yellow,,Applied Theatre Research,11/02/2016,
2049-3029,12 months embargo,cannot,yellow,,Applied Theatre Research,11/02/2016,
2040-5669,12 months embargo,cannot,yellow,,Choreographic Practices,11/02/2016,
2040-5677,12 months embargo,cannot,yellow,,Choreographic Practices,11/02/2016,
1743-5234,12 months embargo,cannot,yellow,,International Journal of Education Through Art,11/02/2016,
2040-090X,12 months embargo,cannot,yellow,,International Journal of Education Through Art,11/02/2016,
1757-1871,12 months embargo,cannot,yellow,,Journal of Dance & Somatic Practices,11/02/2016,
1757-188X,12 months embargo,cannot,yellow,,Journal of Dance & Somatic Practices,11/02/2016,
2050-4039,12 months embargo,cannot,yellow,,Journal of New Zealand & Pacific Studies,11/02/2016,
2050-4047,12 months embargo,cannot,yellow,,Journal of New Zealand & Pacific Studies,11/02/2016,
2042-7824,12 months embargo,cannot,yellow,,Short Film Studies,11/02/2016,
2042-7832,12 months embargo,cannot,yellow,,Short Film Studies,11/02/2016,
2239-5938,,,,,European Journal of Sustainable Development,,
2239-6101,,,,,European Journal of Sustainable Development,,
2058-4563,can,can,green,CC-BY,Journal of Innovation in Health Informatics,27/03/2014,
2058-4555,can,can,green,CC-BY,Journal of Innovation in Health Informatics,27/03/2014,
2051-9788,unknown,unknown,gray,,Journal of Perspectives in Applied Academic Practice,16/05/2019,
2470-0436,can,can,green,CC-BY,Journal of Ophthalmic Science,27/06/2016,
1109-3099,No information,No information,No information,,HORMONES,,
2520-8721,No information,No information,No information,,HORMONES,,
1918-2805,can,can,green,CC-BY-NC-ND,Gastroenterology Research,11/08/2015,
1918-2813,can,can,green,CC-BY-NC-ND,Gastroenterology Research,11/08/2015,
2051-817X,can,can,green,CC-BY,Physiological Reports,27/10/2016,
0820-3946,can,cannot,blue,,Canadian Medical Association Journal,5/12/2016,
1488-2329,can,cannot,blue,,Canadian Medical Association Journal,5/12/2016,
1751-6757,12 months embargo,6 months embargo,yellow,CC-BY-ND ,European J. of International Management,25/09/2018,
1751-6765,12 months embargo,6 months embargo,yellow,CC-BY-ND ,European J. of International Management,25/09/2018,
1757-9848,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Critical Accounting,25/09/2018,
1757-9856,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Critical Accounting,25/09/2018,
1757-2657,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Computer Aided Engineering and Technology,25/09/2018,
1757-2665,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Computer Aided Engineering and Technology,25/09/2018,
1754-3037,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Corporate Governance,25/09/2018,
1754-3045,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Corporate Governance,25/09/2018,
1755-2419,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Migration and Border Studies,25/09/2018,
1755-2427,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Migration and Border Studies,25/09/2018,
1750-0591,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Manufacturing Research,25/09/2018,
1750-0605,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Manufacturing Research,25/09/2018,
1475-7435,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Nanotechnology,25/09/2018,
1741-8151,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Nanotechnology,25/09/2018,
1477-9056,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Product Development,25/09/2018,
1741-8178,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Product Development,25/09/2018,
1741-1084,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Wireless and Mobile Computing,25/09/2018,
1741-1092,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Wireless and Mobile Computing,25/09/2018,
1069-031X,can,cannot,green,,Journal of International Marketing,21/08/2019,
1547-7215,can,cannot,green,,Journal of International Marketing,21/08/2019,
0022-2518,can,can,green,,Indiana University Mathematics Journal,22/01/2020,
2329-6933,12 months embargo,restricted,blue,,Annals of the American Thoracic Society,22/01/2019,
2325-6621,12 months embargo,restricted,blue,,Annals of the American Thoracic Society,22/01/2019,
2300-2611,can,can,green,CC-BY-NC-ND,Archives of Control Sciences,2/05/2018,
2299-3274,can,can,green,CC-BY-NC-ND,Analysis and Geometry in Metric Spaces,2/05/2018,
1868-6303,,,,,Applied Linguistics Review,,
1868-6311,12 months embargo,Special conditions apply,yellow,,Applied Linguistics Review,1/04/2014,
1437-4323,12 months embargo,Special conditions apply,yellow,,Botanica Marina,1/04/2014,
0006-8055,12 months embargo,Special conditions apply,yellow,,Botanica Marina,1/04/2014,
2194-6175,,,,,Entrepreneurship Research Journal,,
2157-5665,12 months embargo,Special conditions apply,yellow,,Entrepreneurship Research Journal,1/04/2014,
2192-5550,,,,,Hegel-Jahrbuch,,
