issn,journal_title,oa_model,apc,year
1347-8613,Journal of Pharmacological Sciences,Open Access,1000,2018
0095-4470,Journal of Phonetics,Hybrid,1100,2018
1010-6030,"Journal of Photochemistry and Photobiology, A: Chemistry",Hybrid,2600,2018
1011-1344,"Journal of Photochemistry and Photobiology, B: Biology",Hybrid,3300,2018
1389-5567,"Journal of Photochemistry and Photobiology, C: Photochemistry Reviews",Hybrid,3300,2018
0022-3697,Journal of Physics and Chemistry of Solids,Hybrid,2200,2018
1836-9553,Journal of Physiotherapy,Open Access,0,2018
0176-1617,Journal of Plant Physiology,Hybrid,2400,2018
1748-6815,"Journal of Plastic, Reconstructive and Aesthetic Surgery",Hybrid,3300,2018
0161-8938,Journal of Policy Modeling,Hybrid,1200,2018
0378-7753,Journal of Power Sources,Hybrid,4050,2018
0378-2166,Journal of Pragmatics,Hybrid,1100,2018
0959-1524,Journal of Process Control,Hybrid,2400,2018
8755-7223,Journal of Professional Nursing,Hybrid,2500,2018
1883-1958,Journal of Prosthodontic Research,Hybrid,3000,2018
1874-3919,Journal of Proteomics,Hybrid,3400,2018
0022-3956,Journal of Psychiatric Research,Hybrid,3200,2018
0022-3999,Journal of Psychosomatic Research,Hybrid,3500,2018
0047-2727,Journal of Public Economics,Hybrid,1800,2018
1478-4092,Journal of Purchasing and Supply Management,Hybrid,1100,2018
0022-4049,Journal of Pure and Applied Algebra,Hybrid,1500,2018
0022-4073,Journal of Quantitative Spectroscopy and Radiative Transfer,Hybrid,2800,2018
1687-8507,Journal of Radiation Research and Applied Sciences,Open Access,0,2018
1546-0843,Journal of Radiology Nursing,Hybrid,2500,2018
2210-9706,Journal of Rail Transport Planning and Management,Hybrid,1100,2018
1002-0721,Journal of Rare Earths,Hybrid,3000,2018
1051-2276,Journal of Renal Nutrition,Hybrid,2500,2018
0165-0378,Journal of Reproductive Immunology,Hybrid,2500,2018
0092-6566,Journal of Research in Personality,Hybrid,1800,2018
0022-4359,Journal of Retailing,Hybrid,1100,2018
0969-6989,Journal of Retailing and Consumer Services,Hybrid,1100,2018
1674-7755,Journal of Rock Mechanics and Geotechnical Engineering,Open Access,0,2018
0743-0167,Journal of Rural Studies,Hybrid,1950,2018
0022-4375,Journal of Safety Research,Hybrid,2000,2018
1319-6103,Journal of Saudi Chemical Society,Open Access,0,2018
0022-4405,Journal of School Psychology,Hybrid,1800,2018
1440-2440,Journal of Science and Medicine in Sport,Hybrid,3000,2018
1385-1101,Journal of Sea Research,Hybrid,2500,2018
1060-3743,Journal of Second Language Writing,Hybrid,1800,2018
1058-2746,Journal of Shoulder and Elbow Surgery,Hybrid,2750,2018
0022-4596,Journal of Solid State Chemistry,Hybrid,3050,2018
0022-460X,Journal of Sound and Vibration,Hybrid,3300,2018
0895-9811,Journal of South American Earth Sciences,Hybrid,2500,2018
2095-2546,Journal of Sport and Health Science,Open Access,0,2018
0378-3758,Journal of Statistical Planning and Inference,Hybrid,2000,2018
0960-0760,Journal of Steroid Biochemistry and Molecular Biology,Hybrid,4050,2018
2468-7855,Journal of Stomatology oral and Maxillofacial Surgery,Hybrid,3000,2018
0022-474X,Journal of Stored Products Research,Hybrid,2500,2018
0963-8687,Journal of Strategic Information Systems,Hybrid,1800,2018
1052-3057,Journal of Stroke and Cerebrovascular Diseases,Hybrid,3450,2018
1047-8477,Journal of Structural Biology,Hybrid,2750,2018
0191-8141,Journal of Structural Geology,Hybrid,3400,2018
0740-5472,Journal of Substance Abuse Treatment,Hybrid,3000,2018
1931-7204,Journal of Surgical Education,Hybrid,3000,2018
0022-4804,Journal of Surgical Research,Hybrid,3000,2018
2300-3960,Journal of Sustainable Mining,Open Access,0,2018
0747-7171,Journal of Symbolic Computation,Hybrid,1500,2018
1383-7621,Journal of Systems Architecture,Hybrid,1500,2018
1658-3612,Journal of Taibah University Medical Sciences,Open Access,0,2018
0022-4898,Journal of Terramechanics,Hybrid,2500,2018
2212-2672,Journal of the Academy of Nutrition and Dietetics,Hybrid,2750,2018
0890-8567,Journal of the American Academy of Child and Adolescent Psychiatry,Hybrid,2750,2018
0190-9622,Journal of the American Academy of Dermatology,Hybrid,3550,2018
0735-1097,Journal of the American College of Cardiology,Hybrid,3000,2018
2213-5103,Journal of the American College of Clinical Wound Specialists,Hybrid,1700,2018
1546-1440,Journal of the American College of Radiology,Hybrid,3300,2018
1072-7515,Journal of the American College of Surgeons,Hybrid,3000,2018
1525-8610,Journal of the American Medical Directors Association,Hybrid,3600,2018
1544-3191,Journal of the American Pharmacists Association,Hybrid,1700,2018
2213-2945,Journal of the American Society of Cytopathology,Hybrid,3000,2018
0894-7317,Journal of the American Society of Echocardiography,Hybrid,3000,2018
1933-1711,Journal of the American Society of Hypertension,Hybrid,2750,2018
0003-2778,Journal of the Anatomical Society of India,Hybrid,3000,2018
1552-8855,Journal of the Association for Vascular Access,Hybrid,2500,2018
1055-3290,Journal of the Association of Nurses in AIDS Care,Hybrid,2500,2018
1726-4901,Journal of the Chinese Medical Association,Open Access,0,2018
1110-0362,Journal of the Egyptian National Cancer Institute,Open Access,0,2018
1743-9671,Journal of the Energy Institute,Hybrid,2000,2018
0955-2219,Journal of the European Ceramic Society,Hybrid,3500,2018
0929-6646,Journal of the Formosan Medical Association,Open Access,0,2018
0016-0032,Journal of the Franklin Institute,Hybrid,2000,2018
0889-1583,Journal of The Japanese and International Economies,Hybrid,1800,2018
1226-3192,Journal of the Korean Statistical Society,Hybrid,750,2018
1751-6161,Journal of the Mechanical Behavior of Biomedical Materials,Hybrid,3000,2018
0022-5096,Journal of the Mechanics and Physics of Solids,Hybrid,3550,2018
0027-9684,Journal of the National Medical Association,Hybrid,3000,2018
0022-510X,Journal of the Neurological Sciences,Hybrid,3100,2018
1016-7315,Journal of the Saudi Heart Association,Open Access,0,2018
1658-077X,Journal of the Saudi Society of Agricultural Sciences,Open Access,0,2018
1876-1070,Journal of the Taiwan Institute of Chemical Engineers,Hybrid,2500,2018
2212-4438,Journal of the World Federation of Orthodontists,Hybrid,3000,2018
0022-5193,Journal of Theoretical Biology,Hybrid,2750,2018
0306-4565,Journal of Thermal Biology,Hybrid,3000,2018
1556-0864,Journal of Thoracic Oncology,Hybrid,2800,2018
0965-206X,Journal of Tissue Viability,Hybrid,1700,2018
0946-672X,Journal of Trace Elements in Medicine and Biology,Hybrid,1800,2018
2225-4110,Journal of Traditional and Complementary Medicine,Open Access,0,2018
2095-7548,Journal of Traditional Chinese Medical Sciences,Open Access,0,2018
0254-6272,Journal of Traditional Chinese Medicine,Open Access,0,2018
2095-7564,Journal of Traffic and Transportation Engineering (English Edition),Open Access,0,2018
2214-1405,Journal of Transport and Health,Hybrid,1950,2018
0966-6923,Journal of Transport Geography,Hybrid,1200,2018
0094-1190,Journal of Urban Economics,Hybrid,1800,2018
2226-5856,Journal of Urban Management,Open Access,0,2018
1051-0443,Journal of Vascular and Interventional Radiology,Hybrid,3000,2018
1062-0303,Journal of Vascular Nursing,Hybrid,2500,2018
0741-5214,Journal of Vascular Surgery,Hybrid,3550,2018
2468-4287,Journal of Vascular Surgery Cases and Innovative Techniques,Open Access,550,2018
2213-333X,Journal of Vascular Surgery: Venous and Lymphatic Disorders,Hybrid,3300,2018
1558-7878,Journal of Veterinary Behavior,Hybrid,2500,2018
1760-2734,Journal of Veterinary Cardiology,Hybrid,3000,2018
0166-0934,Journal of Virological Methods,Hybrid,2300,2018
1878-7886,Journal of Visceral Surgery,Hybrid,3000,2018
1047-3203,Journal of Visual Communication and Image Representation,Hybrid,2400,2018
1045-926X,Journal of Visual Languages and Computing,Hybrid,1500,2018
0001-8791,Journal of Vocational Behavior,Hybrid,1800,2018
0892-1997,Journal of Voice,Hybrid,3000,2018
0377-0273,Journal of Volcanology and Geothermal Research,Hybrid,2600,2018
2214-7144,Journal of Water Process Engineering,Hybrid,2500,2018
1570-8268,Journal of Web Semantics,Hybrid,2400,2018
0167-6105,Journal of Wind Engineering and Industrial Aerodynamics,Hybrid,2500,2018
1090-9516,Journal of World Business,Hybrid,1800,2018
2352-5878,JPRAS Open,Open Access,1900,2018
1607-551X,Kaohsiung Journal of Medical Sciences,Open Access,0,2018
2405-609X,Karbala International Journal of Modern Science,Open Access,0,2018
0085-2538,Kidney International,Hybrid,3200,2018
2157-1716,Kidney International Supplements,Hybrid,3200,2018
1779-0123,"Kinésithérapie, la revue",Hybrid,2000,2018
0950-7051,Knowledge-Based Systems,Hybrid,2400,2018
1212-4117,KONTAKT,Hybrid,3000,2018
0720-3373,Krankenhaus-Hygiene + Infektionsverhutung,Hybrid,1700,2018
0755-4982,La Presse Médicale,Hybrid,3000,2018
1293-8505,La revue de l'infirmière,Hybrid,3000,2018
0248-8663,La revue de médecine interne,Hybrid,3000,2018
1878-6529,La revue de médecine légale,Hybrid,3000,2018
1879-3991,La revue de santé scolaire et universitaire,Hybrid,3000,2018
1878-9730,La Revue d'Homéopathie,Hybrid,3000,2018
2214-4234,La Revue Gestion et Organisation,Open Access,0,2018
1637-4088,La Revue Sage-Femme,Hybrid,3000,2018
0927-5371,Labour Economics,Hybrid,1800,2018
1166-3413,L'aide-soignante,Hybrid,3000,2018
0264-8377,Land Use Policy,Hybrid,1950,2018
0169-2046,Landscape and Urban Planning,Hybrid,1200,2018
0271-5309,Language and Communication,Hybrid,1800,2018
0388-0001,Language Sciences,Hybrid,1100,2018
0003-5521,L'Anthropologie,Hybrid,3000,2018
2211-1042,Le Pharmacien Hospitalier et Clinicien,Hybrid,3000,2018
1279-7960,Le Praticien en anesthésie réanimation,Hybrid,3000,2018
1041-6080,Learning and Individual Differences,Hybrid,1100,2018
0959-4752,Learning and Instruction,Hybrid,1800,2018
0023-9690,Learning and Motivation,Hybrid,1800,2018
2210-6561,"Learning, Culture and Social Interaction",Hybrid,1800,2018
1344-6223,Legal Medicine,Hybrid,3000,2018
0013-7006,L'Encéphale,Hybrid,3000,2018
0145-2126,Leukemia Research,Hybrid,3100,2018
2213-0489,Leukemia Research Reports,Open Access,600,2018
0014-3855,L'Évolution psychiatrique,Hybrid,3000,2018
0740-8188,Library and Information Science Research,Hybrid,1100,2018
0024-3205,Life Sciences,Hybrid,3300,2018
2214-5524,Life Sciences in Space Research,Hybrid,2200,2018
0075-9511,Limnologica,Hybrid,1500,2018
0024-3795,Linear Algebra and Its Applications,Hybrid,1500,2018
0024-3841,Lingua,Hybrid,1800,2018
0898-5898,Linguistics and Education,Hybrid,1100,2018
0024-4937,LITHOS,Hybrid,3500,2018
1871-1413,Livestock Science,Hybrid,3000,2018
0024-6301,Long Range Planning,Hybrid,1800,2018
0169-5002,Lung Cancer,Hybrid,3200,2018
0023-6438,LWT,Hybrid,3000,2018
0730-725X,Magnetic Resonance Imaging,Hybrid,2500,2018
1064-9689,Magnetic Resonance Imaging Clinics of North America,Hybrid,3000,2018
1616-5047,Mammalian Biology,Hybrid,1800,2018
1044-5005,Management Accounting Research,Hybrid,1800,2018
2213-8463,Manufacturing Letters,Hybrid,3000,2018
0264-8172,Marine and Petroleum Geology,Hybrid,3000,2018
0304-4203,Marine Chemistry,Hybrid,3700,2018
0141-1136,Marine Environmental Research,Hybrid,3000,2018
1874-7787,Marine Genomics,Hybrid,1500,2018
0025-3227,Marine Geology,Hybrid,3500,2018
0377-8398,Marine Micropaleontology,Hybrid,2500,2018
0308-597X,Marine Policy,Hybrid,2450,2018
0025-326X,Marine Pollution Bulletin,Hybrid,3400,2018
0951-8339,Marine Structures,Hybrid,2500,2018
0264-1275,Materials and Design,Hybrid,2700,2018
1044-5803,Materials Characterization,Hybrid,3500,2018
0254-0584,Materials Chemistry and Physics,Hybrid,2200,2018
2352-9245,Materials Discovery,Hybrid,2500,2018
0167-577X,Materials Letters,Hybrid,3100,2018
0025-5408,Materials Research Bulletin,Hybrid,2500,2018
0921-5093,Materials Science and Engineering A,Hybrid,3200,2018
0921-5107,Materials Science and Engineering B,Hybrid,2500,2018
0928-4931,Materials Science and Engineering C,Hybrid,3300,2018
0927-796X,Materials Science and Engineering R,Hybrid,3300,2018
1369-8001,Materials Science in Semiconductor Processing,Hybrid,2500,2018
1369-7021,Materials Today,Hybrid,3300,2018
2214-7853,Materials Today: Proceedings,Hybrid,1200,2018
0025-5564,Mathematical Biosciences,Hybrid,2600,2018
0165-4896,Mathematical Social Sciences,Hybrid,1100,2018
0378-4754,Mathematics and Computers in Simulation,Hybrid,1400,2018
0945-053X,Matrix Biology,Hybrid,3300,2018
0378-5122,Maturitas,Hybrid,3200,2018
0025-6196,Mayo Clinic Proceedings,Hybrid,3300,2018
0263-2241,Measurement,Hybrid,3000,2018
0309-1740,Meat Science,Hybrid,3300,2018
0888-3270,Mechanical Systems and Signal Processing,Hybrid,2700,2018
0167-6636,Mechanics of Materials,Hybrid,2500,2018
0093-6413,Mechanics Research Communications,Hybrid,2500,2018
0094-114X,Mechanism and Machine Theory,Hybrid,2500,2018
0047-6374,Mechanisms of Ageing and Development,Hybrid,2650,2018
0925-4773,Mechanisms of Development,Hybrid,1900,2018
0957-4158,Mechatronics,Hybrid,2400,2018
1769-4493,Médecine du Sommeil,Hybrid,3000,2018
1246-7391,Médecine et Droit,Hybrid,3000,2018
0399-077X,Médecine et Maladies Infectieuses,Hybrid,3000,2018
0928-1258,Médecine Nucléaire,Hybrid,3000,2018
1636-6522,Médecine Palliative Soins de Support - Accompagnement - Ethique,Hybrid,3000,2018
0025-7125,Medical Clinics of North America,Hybrid,3000,2018
0958-3947,Medical Dosimetry,Hybrid,2500,2018
1350-4533,Medical Engineering and Physics,Hybrid,2875,2018
0306-9877,Medical Hypotheses,Hybrid,2050,2018
1361-8415,Medical Image Analysis,Hybrid,3100,2018
0377-1237,Medical Journal Armed Forces India,Hybrid,3000,2018
2211-7539,Medical Mycology Case Reports,Open Access,450,2018
0025-7753,Medicina Clinica,Hybrid,2000,2018
2387-0206,Medicina Clínica (English Edition),Hybrid,2000,2018
1138-3593,Medicina de Familia. SEMERGEN,Hybrid,3000,2018
0210-5691,Medicina intensiva,Hybrid,1500,2018
2173-5727,Medicina Intensiva (English Edition),Hybrid,1500,2018
1134-248X,Medicina Paliativa,Hybrid,3000,2018
1357-3039,Medicine,Hybrid,3000,2018
0304-5412,Medicine - Programa de Formación Médica Continuada acreditado,Hybrid,3000,2018
0959-9436,Mendeleev Communications,Hybrid,3000,2018
1755-2966,Mental Health and Physical Activity,Hybrid,1800,2018
2212-6570,Mental Health and Prevention,Hybrid,1700,2018
2214-5400,Meta Gene,Hybrid,1500,2018
1096-7176,Metabolic Engineering,Hybrid,3700,2018
2214-0301,Metabolic Engineering Communications,Open Access,1500,2018
0026-0495,Metabolism,Hybrid,2600,2018
1046-2023,Methods,Hybrid,3400,2018
2215-0161,MethodsX,Open Access,550,2018
1258-780X,Métiers de la petite enfance,Hybrid,3000,2018
1286-4579,Microbes and Infection,Hybrid,1950,2018
0882-4010,Microbial Pathogenesis,Hybrid,3000,2018
2352-3522,Microbial Risk Analysis,Hybrid,2200,2018
0944-5013,Microbiological Research,Hybrid,1800,2018
0026-265X,Microchemical Journal,Hybrid,2600,2018
0167-9317,Microelectronic Engineering,Hybrid,3000,2018
0026-2692,Microelectronics Journal,Hybrid,2400,2018
0026-2714,Microelectronics Reliability,Hybrid,2400,2018
0968-4328,Micron,Hybrid,2200,2018
1387-1811,Microporous and Mesoporous Materials,Hybrid,2500,2018
0141-9331,Microprocessors and Microsystems,Hybrid,2400,2018
0026-2862,Microvascular Research,Hybrid,3000,2018
1110-5690,Middle East Fertility Society Journal,Open Access,0,2018
0266-6138,Midwifery,Hybrid,3100,2018
0892-6875,Minerals Engineering,Hybrid,3000,2018
1567-7249,Mitochondrion,Hybrid,2400,2018
0166-6851,Molecular and Biochemical Parasitology,Hybrid,1900,2018
0303-7207,Molecular and Cellular Endocrinology,Hybrid,3000,2018
1044-7431,Molecular and Cellular Neuroscience,Hybrid,2350,2018
0890-8508,Molecular and Cellular Probes,Hybrid,2200,2018
0098-2997,Molecular Aspects of Medicine,Hybrid,3000,2018
2405-6758,Molecular Astrophysics,Hybrid,2200,2018
2468-8231,Molecular Catalysis,Hybrid,2500,2018
1097-2765,Molecular Cell,Hybrid,5200,2018
1096-7192,Molecular Genetics and Metabolism,Hybrid,2800,2018
2214-4269,Molecular Genetics and Metabolism Reports,Open Access,1600,2018
0161-5890,Molecular Immunology,Hybrid,2750,2018
2212-8778,Molecular Metabolism,Open Access,2400,2018
1055-7903,Molecular Phylogenetics and Evolution,Hybrid,4050,2018
1674-2052,Molecular Plant,Hybrid,2800,2018
1525-0016,Molecular Therapy,Hybrid,3200,2018
2329-0501,Molecular Therapy - Methods and Clinical Development,Open Access,3200,2018
2162-2531,Molecular Therapy - Nucleic Acids,Open Access,3200,2018
2372-7705,Molecular Therapy - Oncolytics,Open Access,3200,2018
1286-0115,Morphologie,Hybrid,3000,2018
0245-5919,Motricité cérébrale,Hybrid,3000,2018
2211-0348,Multiple Sclerosis and Related Disorders,Hybrid,3000,2018
2468-7812,Musculoskeletal Science and Practice,Hybrid,2500,2018
0027-5107,Mutation Research - Fundamental and Molecular Mechanisms of Mutagenesis,Hybrid,3000,2018
1383-5718,Mutation Research - Genetic Toxicology and Environmental Mutagenesis,Hybrid,3400,2018
1383-5742,Mutation Research-Reviews in Mutation Research,Hybrid,3000,2018
1340-3540,Mycoscience,Hybrid,3000,2018
1878-7789,Nano Communication Networks,Hybrid,2400,2018
2211-2855,Nano Energy,Hybrid,2700,2018
1748-0132,Nano Today,Hybrid,3300,2018
2452-0748,NanoImpact,Hybrid,1500,2018
1549-9634,"Nanomedicine: Nanotechnology, Biology, and Medicine",Hybrid,3750,2018
2352-507X,Nano-Structures and Nano-Objects,Hybrid,3300,2018
2352-8540,Natural Gas Industry B,Open Access,0,2018
0963-8695,NDT and E International,Hybrid,3000,2018
0211-6995,NEFROLOGÍA,Open Access,0,2018
2013-2514,NEFROLOGIA (English Edition),Open Access,0,2018
1476-5586,Neoplasia,Open Access,2500,2018
1769-7255,Nephrologie et Thérapeutique,Hybrid,3000,2018
0893-6080,Neural Networks,Hybrid,3100,2018
0197-4580,Neurobiology of Aging,Hybrid,3400,2018
0969-9961,Neurobiology of Disease,Hybrid,3000,2018
1074-7427,Neurobiology of Learning and Memory,Hybrid,3000,2018
2451-9944,Neurobiology of Sleep and Circadian Rhythms,Open Access,1500,2018
2352-2895,Neurobiology of Stress,Open Access,1500,2018
0197-0186,Neurochemistry International,Hybrid,1800,2018
0028-3770,Neurochirurgie,Hybrid,3000,2018
1130-1473,Neurocirugía,Hybrid,3000,2018
0925-2312,Neurocomputing,Hybrid,2400,2018
1053-8119,NeuroImage,Hybrid,3000,2018
2213-1582,NeuroImage: Clinical,Open Access,1700,2018
1052-5149,Neuroimaging Clinics of North America,Hybrid,3000,2018
0213-4853,Neurología,Open Access,0,2018
2173-5808,Neurología (English Edition),Open Access,0,2018
1853-0028,Neurología Argentina,Hybrid,3000,2018
0028-3843,Neurologia i Neurochirurgia Polska,Hybrid,3000,2018
0733-8619,Neurologic Clinics,Hybrid,3000,2018
0941-9500,"Neurology, Psychiatry and Brain Research",Hybrid,1700,2018
0960-8966,Neuromuscular Disorders,Hybrid,3100,2018
0896-6273,Neuron,Hybrid,5200,2018
0143-4179,Neuropeptides,Hybrid,1700,2018
0028-3908,Neuropharmacology,Hybrid,3000,2018
0987-7053,Neurophysiologie Clinique,Hybrid,3000,2018
1439-4847,Neurophysiologie-Labor,Hybrid,1700,2018
0222-9617,Neuropsychiatrie de l'enfance et de l'adolescence,Hybrid,3000,2018
0028-3932,Neuropsychologia,Hybrid,2450,2018
0306-4522,Neuroscience,Hybrid,2400,2018
0149-7634,Neuroscience and Biobehavioral Reviews,Hybrid,3700,2018
0304-3940,Neuroscience Letters,Hybrid,2350,2018
0168-0102,Neuroscience Research,Hybrid,2300,2018
1042-3680,Neurosurgery Clinics of North America,Hybrid,3000,2018
0161-813X,Neurotoxicology,Hybrid,3300,2018
0892-0362,Neurotoxicology and Teratology,Hybrid,3000,2018
1384-1076,New Astronomy,Hybrid,2200,2018
1387-6473,New Astronomy Reviews,Hybrid,2200,2018
1871-6784,New BIOTECHNOLOGY,Hybrid,3000,2018
1872-5805,New Carbon Materials,Hybrid,3000,2018
0732-118X,New Ideas in Psychology,Hybrid,1800,2018
2052-2975,New Microbes and New Infections,Open Access,1300,2018
2352-3646,NFS Journal,Open Access,1250,2018
1089-8603,Nitric Oxide,Hybrid,3300,2018
1573-5214,NJAS - Wageningen Journal of Life Sciences,Hybrid,2500,2018
0362-546X,Nonlinear Analysis,Hybrid,1500,2018
1751-570X,Nonlinear Analysis: Hybrid Systems,Hybrid,1250,2018
1468-1218,Nonlinear Analysis: Real World Applications,Hybrid,1500,2018
1062-9408,North American Journal of Economics and Finance,Hybrid,750,2018
1627-4830,NPG Neurologie - Psychiatrie - Gériatrie,Hybrid,3000,2018
2090-9977,NRIAG Journal of Astronomy and Geophysics,Open Access,0,2018
2405-6014,Nuclear and Particle Physics Proceedings,Hybrid,3000,2018
0090-3752,Nuclear Data Sheets,Hybrid,2200,2018
0029-5493,Nuclear Engineering and Design,Hybrid,2000,2018
0168-9002,"Nuclear Inst. and Methods in Physics Research, A",Hybrid,2400,2018
0168-583X,"Nuclear Inst. and Methods in Physics Research, B",Hybrid,2350,2018
2352-1791,Nuclear Materials and Energy,Open Access,1000,2018
0969-8051,Nuclear Medicine and Biology,Hybrid,3000,2018
0375-9474,"Nuclear Physics, Section A",Hybrid,2000,2018
0550-3213,"Nuclear Physics, Section B",Open Access,0,2018
1471-5953,Nurse Education in Practice,Hybrid,2500,2018
0260-6917,Nurse Education Today,Hybrid,2500,2018
1541-4612,Nurse Leader,Hybrid,2500,2018
0029-6465,Nursing Clinics of North America,Hybrid,3000,2018
1751-4851,Nursing for Women’s Health,Hybrid,3000,2018
0029-6554,Nursing Outlook,Hybrid,2500,2018
2352-9008,NursingPlus Open,Open Access,900,2018
0899-9007,Nutrition,Hybrid,2500,2018
0985-0562,Nutrition clinique et métabolisme,Hybrid,3000,2018
0271-5317,Nutrition Research,Hybrid,3000,2018
0939-4753,"Nutrition, Metabolism and Cardiovascular Diseases",Hybrid,3000,2018
2451-8476,Obesity Medicine,Hybrid,3000,2018
1871-403X,Obesity Research and Clinical Practice,Hybrid,3000,2018
0889-8545,Obstetrics and Gynecology Clinics of North America,Hybrid,3000,2018
1751-7214,"Obstetrics, Gynaecology and Reproductive Medicine",Hybrid,3000,2018
0964-5691,Ocean and Coastal Management,Hybrid,3700,2018
0029-8018,Ocean Engineering,Hybrid,2700,2018
1463-5003,Ocean Modelling,Hybrid,3400,2018
0078-3234,Oceanologia,Open Access,0,2018
0305-0483,Omega,Hybrid,1800,2018
2352-7714,One Health,Open Access,1800,2018
2352-9520,OpenNano,Open Access,2000,2018
2211-6923,Operations Research for Health Care,Hybrid,1800,2018
0167-6377,Operations Research Letters,Hybrid,750,2018
2214-7160,Operations Research Perspectives,Open Access,1100,2018
1048-6666,Operative Techniques in Orthopaedics,Hybrid,2500,2018
1043-1810,Operative Techniques in Otolaryngology - Head and Neck Surgery,Hybrid,2500,2018
1060-1872,Operative Techniques in Sports Medicine,Hybrid,2500,2018
1522-2942,Operative Techniques in Thoracic and Cardiovascular Surgery: A Comparative Atlas,Hybrid,1700,2018
0161-6420,Ophthalmology,Hybrid,3300,2018
1068-5200,Optical Fiber Technology,Hybrid,2200,2018
0925-3467,Optical Materials,Hybrid,2200,2018
1573-4277,Optical Switching and Networking,Hybrid,2400,2018
0030-3992,Optics and Laser Technology,Hybrid,2200,2018
0143-8166,Optics and Lasers in Engineering,Hybrid,2200,2018
0030-4018,Optics Communications,Hybrid,2600,2018
0030-4026,Optik,Hybrid,1800,2018
2214-5419,Oral and Maxillofacial Surgery Cases,Open Access,500,2018
1042-3699,Oral and Maxillofacial Surgery Clinics of North America,Hybrid,3000,2018
1368-8375,Oral Oncology,Hybrid,2600,2018
1348-8643,Oral Science International,Hybrid,3000,2018
2212-4403,"Oral Surgery, Oral Medicine, Oral Pathology and Oral Radiology",Hybrid,2000,2018
0030-4387,Orbis,Hybrid,1100,2018
0169-1368,Ore Geology Reviews,Hybrid,2500,2018
1566-1199,Organic Electronics,Hybrid,2900,2018
0146-6380,Organic Geochemistry,Hybrid,2500,2018
0749-5978,Organizational Behavior and Human Decision Processes,Hybrid,1800,2018
0090-2616,Organizational Dynamics,Hybrid,1800,2018
1344-0241,Orthodontic Waves,Hybrid,3000,2018
1877-1327,Orthopaedics and Trauma,Hybrid,3000,2018
1877-0568,Orthopaedics and Traumatology: Surgery and Research,Hybrid,3000,2018
0030-5898,Orthopedic Clinics of North America,Hybrid,3000,2018
1063-4584,Osteoarthritis and Cartilage,Hybrid,2588,2018
1615-9071,Osteopathische Medizin,Hybrid,1700,2018
2405-5255,Osteoporosis and Sarcopenia,Open Access,0,2018
0030-6665,Otolaryngologic Clinics of North America,Hybrid,3000,2018
0990-1310,Oxymag,Hybrid,3000,2018
0927-538X,Pacific-Basin Finance Journal,Hybrid,1100,2018
1526-0542,Paediatric Respiratory Reviews,Hybrid,3000,2018
1751-7222,Paediatrics and Child Health,Hybrid,3000,2018
1524-9042,Pain Management Nursing,Hybrid,2500,2018
0031-0182,"Palaeogeography, Palaeoclimatology, Palaeoecology",Hybrid,2900,2018
1871-174X,Palaeoworld,Hybrid,3000,2018
1424-3903,Pancreatology,Hybrid,3000,2018
2405-8521,Papillomavirus Research,Open Access,750,2018
0167-8191,Parallel Computing,Hybrid,3100,2018
2405-6731,Parasite Epidemiology and Control,Open Access,1500,2018
1383-5769,Parasitology International,Hybrid,2200,2018
1353-8020,Parkinsonism and Related Disorders,Hybrid,3200,2018
1674-2001,Particuology,Hybrid,3000,2018
0031-3025,Pathology,Hybrid,2500,2018
0344-0338,Pathology - Research and Practice,Hybrid,1800,2018
0928-4680,Pathophysiology,Hybrid,3000,2018
0738-3991,Patient Education and Counseling,Hybrid,3500,2018
0031-3203,Pattern Recognition,Hybrid,3100,2018
0167-8655,Pattern Recognition Letters,Hybrid,2400,2018
0917-2394,Pediatric Dental Journal,Hybrid,3000,2018
0887-8994,Pediatric Neurology,Hybrid,2500,2018
1875-9572,Pediatrics and Neonatology,Open Access,0,2018
0031-4056,Pedobiologia - Journal of Soil Ecology,Hybrid,1500,2018
1002-0160,Pedosphere,Hybrid,3000,2018
0196-9781,Peptides,Hybrid,3000,2018
2211-2669,Performance Enhancement and Health,Hybrid,1800,2018
0166-5316,Performance Evaluation,Hybrid,1500,2018
0187-5337,Perinatología y Reproducción Humana,Open Access,0,2018
2405-6030,Perioperative Care and Operating Room Management,Hybrid,2500,2018
0191-8869,Personality and Individual Differences,Hybrid,2350,2018
2186-4950,Personalized Medicine Universe,Hybrid,3000,2018
1433-8319,"Perspectives in Plant Ecology, Evolution and Systematics",Hybrid,1800,2018
2213-0209,Perspectives in Science,Open Access,0,2018
1574-1192,Pervasive and Mobile Computing,Hybrid,2400,2018
0048-3575,Pesticide Biochemistry and Physiology,Hybrid,3000,2018
1556-8598,PET Clinics,Hybrid,3000,2018
2405-6561,Petroleum,Open Access,0,2018
1876-3804,Petroleum Exploration and Development Online,Open Access,3000,2018
2096-2495,Petroleum Research,Open Access,0,2018
1734-1140,Pharmacological Reports,Hybrid,3000,2018
1043-6618,Pharmacological Research,Hybrid,3700,2018
0163-7258,Pharmacology and Therapeutics,Hybrid,3700,2018
0091-3057,"Pharmacology, Biochemistry and Behavior",Hybrid,2200,2018
2213-4344,PharmaNutrition,Hybrid,3000,2018
2213-5979,Photoacoustics,Open Access,1500,2018
1572-1000,Photodiagnosis and Photodynamic Therapy,Hybrid,2500,2018
